CLASS,ORDER,CLADE,GROUP,"FAMILY, SUBFAMILY, TRIBE",,GENUS,SPECIES,SUBSPECIES,COMMON NAME,SECONDARY COMMON NAMES,AUTHOR_YEAR,GENUS SPECIES SUBSPECIES,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,castanea,,Yellow-spotted Tree Frog,,"Steindachner, 1867",Litoria castanea,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,cavernicola,,Cave Frog,"Cave-dwelling Frog, Cave Tree Frog","Tyler & Davies, 1979",Litoria cavernicola,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,chloris,,Southern Orange-eyed Tree Frog,Red-eyed Tree Frog,"Boulenger, 1893",Litoria chloris,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,citropa,,Blue Mountains Tree Frog,,"Duméril & Bibron, 1841",Litoria citropa,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,cooloolensis,,Cooloola Sedge Frog,Cooloola Tree Frog,"Liem, 1974",Litoria cooloolensis,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,coplandi,,Common Rock Frog,"Copland's Rock Frog, Sandstone Frog","Tyler, 1968",Litoria coplandi,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,cyclorhyncha,,Spotted-thighed Frog,,"Boulenger, 1882",Litoria cyclorhyncha,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,dahlii,,Dahl’s Aquatic Frog,Northern Water Frog,"Boulenger, 1896",Litoria dahlii,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,daviesae,,Davies' Tree Frog,,"Mahony, Knowles, Foster & Donnellan, 2001",Litoria daviesae,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,dayi,,Australian Lace-lid,,"Günther, 1897",Litoria dayi,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,dentata,,Robust Bleating Tree Frog,Bleating Tree Frog,"Keferstein, 1868",Litoria dentata,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,electrica,,Buzzing Tree Frog,,"Ingram & Corben, 1990",Litoria electrica,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,eucnemis,,Growling Green-eyed Tree Frog,Fringed Tree Frog,"Lonnberg, 1900",Litoria eucnemis,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,ewingii,,Ewing's Tree Frog,Brown Tree Frog,"Duméril & Bibron, 1841",Litoria ewingii,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,fallax,,Eastern Sedge Frog,Eastern Dwarf Tree Frog,"Peters, 1880",Litoria fallax,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,freycineti,,Wallum Rocket Frog,,"Tschudi, 1838",Litoria freycineti,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,gilleni,,Centralian Tree Frog,,"Spencer, 1896",Litoria gilleni,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,gracilenta,,Graceful Tree Frog,Dainty Green Tree Frog,"Peters, 1869",Litoria gracilenta,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,inermis,,Bumpy Rocket Frog,,"Peters, 1867",Litoria inermis,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,infrafrenata,,White-lipped Tree Frog,Giant Tree Frog,"Günther, 1867",Litoria infrafrenata,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,jervisiensis,,Jervis Bay Tree Frog,,"Duméril & Bibron, 1841",Litoria jervisiensis,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,jungguy,,Northern Stony-creek Frog,Jungguy Tree Frog,"Donnellan & Mahony, 2004",Litoria jungguy,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,kroombitensis,,Kroombit Tree Frog,,"Hoskin, Hines, Meyer, Clarke & Cunningham, 2013",Litoria kroombitensis,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,latopalmata,,Broad-palmed Rocket Frog,,"Günther, 1867",Litoria latopalmata,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,lesueuri,,Southern Stony-creek Frog,,"Duméril & Bibron, 1841",Litoria lesueuri,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,littlejohni,,Heath Tree Frog,,"White, Whitford & Mahony, 1994",Litoria littlejohni,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,longirostris,,Long-snouted Tree Frog,,"Tyler & Davies, 1977",Litoria longirostris,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,lorica,,Armoured Mist Frog,Little Waterfall Frog,"Davies & McDonald, 1979",Litoria lorica,,,,,,,,,,,,
Amphibia,Anura,Pelodryadidae,"Amphibian - Frog, Hylid",PELODRYADIDAE,,Litoria,meiriana,,Rockhole Frog,,"Tyler, 1969",Litoria meiriana,,,,,,,,,,,,
