Tip_Names
Xenopus_tropicalis_genome
Pipidae_Pipa_pipa_MVZ_247511
Rhinophrynidae_Rhinophrynus_dorsalis_MVZ_164756
Ascaphidae_Ascaphus_montanus_I13520
Bombinatoridae_Bombina_microdeladigitora_CAS_242112
Alytidae_Alytes_obstetricans_MVZ_231914
Scaphiopodidae_Spea_hammondii_MVZ_145187
Pelodytidae_Pelodytes_ibericus_MVZ_186009
Megophryidae_Leptolalax_bourreti_AMCC_106489
Pelobatidae_Pelobates_syriacus_MVZ_234650
Heleophryne_purcelli
Heleophrynidae_Heleophryne_purcelli_SANBI_1954
Ptychadena_mascareniensis
Phrynobatrachus_keniensis
Phrynomantis_annectens
Otophryne_robusta
Stereocyclops_incrassatus
Scaphiophryne_brevis
Plethodontohyla_notosticta
Microhylidae_Plethodontohyla_notosticta_AMCC_128714
Kalophrynus_interlineatus
Dyscophus_guineti
Kaloula_picta
Microhyla_berdmorei
Liophryne_rhododactyla
Callulops_doriae
Hylophorbus_rainerguntheri
Genyophryne_thomsoni
Barygenys_flavigularis
Copiula_pipilans
Austrochaperina_guttata
Austrochaperina_gracilipes_2
Austrochaperina_robusta
Oreophryne_brachypus
Aphantophryne_pansa
Cophixalus_parkeri
Cophixalus_balbus
Cophixalus_bewaniensis
Cophixalus_crepitans
Cophixalus_infacetus
Cophixalus_hosmeri_3
Calyptocephalella_gayi
Rheobatrachus_silus_7324
Rheobatrachus_vitellinus_105698
Mixophyes_balbus_25323
Mixophyes_hihihorlo_45861
Lechriodus_fletcheri_24892
Opisthodon_ornatus_15543
Heleioporus_australiacus_I5549
Neobatrachus_albipes_I5481
Notaden_nichollsi_70661
Limnodynastes_dumerilii_104299
Philoria_sphagnicola_25832
Adelotus_brevis_24210
Taudactylus_liemi_50947
Paracrinia_haswelli_26441
Geocrinia_alba_106079
Assa_darlingtoni_136278
Bryobatrachus_nimbus_25297
Crinia_signifera_25676
Spicospina_flammocaerulea_144371
Uperoleia_laevigata_MM1227
Pseudophryne_major_16479
Metacrinia_nichollsi_17124
Arenophryne_rotunda_114066
Myobatrachus_gouldii_156759
Calyptocephalella_gayi_X
Stefania_evansi_BPN1286
Ceratophrys_cornuta_MVZ247561
Hypsiboas_crepitans_YPM10666
Osteopilus_dominicensis_MCZA148702
Hylidae_Scinax_staufferi_MVZ_257781
Hylidae_Pseudis_paradoxa_LSUMNS_12511
Hylidae_Dendropsophus_microcephalus_MVZ_264263
Hylidae_Pseudacris_nigrita_I13522
Hylidae_Smilisca_fodiens_YPM_014191
Cruziohyla_calcarifer
Phyllomedusa_vallantii
Litoria_citropa_7146
Nyctimystes_dayi_15997
Litoria_genimaculata_42824
Litoria_wilcoxii_16804
Litoria_andiirrmalin
Litoria_xanthomera_102385
Litoria_gilleni_30786
Litoria_raniformis_12854
Litoria_thesaurensis_50489
Litoria_dahlii_102434
Cyclorana_cultripes_16892
Litoria_infrafrenata_86210
Litoria_brevipalmata_127632
Nyctimystes_disrupta_48225
Litoria_revelata_80814
Litoria_burrowsi_17631
Litoria_tyleri_3925
Litoria_dentata_100638
Litoria_dorsalis_79181
Litoria_adelaidensis_28282
Litoria_angiana_48210
Litoria_fallax_102409
Litoria_tornieri_11777
